Mod:Item:MetaData, Localized Name
minecraft:diamond_block, Алмазный блок
minecraft:crafting_table, Верстак
minecraft:farmland, Пашня
minecraft:furnace, Печь
minecraft:lit_furnace, Печь
minecraft:ladder, Лестница
minecraft:rail, Рельсы
minecraft:stone_stairs, Ступеньки из булыжника
minecraft:lever, Рычаг
minecraft:stone_pressure_plate, Нажимная плита
minecraft:wooden_pressure_plate, Нажимная плита
minecraft:redstone_ore, Красная руда
minecraft:redstone_torch, Красный факел
minecraft:stone_button, Кнопка
minecraft:snow_layer:0, Снег
minecraft:ice, Лёд
minecraft:snow, Снег
minecraft:cactus, Кактус
minecraft:clay, Глина
minecraft:jukebox, Проигрыватель
minecraft:fence, Забор из дуба
minecraft:pumpkin, Тыква
minecraft:netherrack, Адский камень
minecraft:soul_sand, Песок душ
minecraft:glowstone, Светящийся камень
minecraft:portal, Портал
minecraft:lit_pumpkin, Светильник Джека
minecraft:stained_glass:0, Белое стекло
minecraft:stained_glass:1, Оранжевое стекло
minecraft:stained_glass:2, Пурпурное стекло
minecraft:stained_glass:3, Голубое стекло
minecraft:stained_glass:4, Жёлтое стекло
minecraft:stained_glass:5, Лаймовое стекло
minecraft:stained_glass:6, Розовое стекло
minecraft:stained_glass:7, Серое стекло
minecraft:stained_glass:8, Светло-серое стекло
minecraft:stained_glass:9, Бирюзовое стекло
minecraft:stained_glass:10, Фиолетовое стекло
minecraft:stained_glass:11, Синее стекло
minecraft:stained_glass:12, Коричневое стекло
minecraft:stained_glass:13, Зелёное стекло
minecraft:stained_glass:14, Красное стекло
minecraft:stained_glass:15, Чёрное стекло
minecraft:trapdoor, Дубовый люк
minecraft:monster_egg:0, Заражённый камень
minecraft:monster_egg:1, Заражённый булыжник
minecraft:monster_egg:2, Заражённые каменные кирпичи
minecraft:monster_egg:3, Заражённые замшелые каменные кирпичи
minecraft:monster_egg:4, Заражённые потрескавшиеся каменные кирпичи
minecraft:monster_egg:5, Заражённые резные каменные кирпичи
minecraft:stonebrick:0, Каменные кирпичи
minecraft:stonebrick:1, Замшелые каменные кирпичи
minecraft:stonebrick:2, Потресканные каменные кирпичи
minecraft:stonebrick:3, Резные каменные кирпичи
minecraft:brown_mushroom_block, Гриб
minecraft:red_mushroom_block, Гриб
minecraft:iron_bars, Железные прутья
minecraft:glass_pane, Стеклянная панель
minecraft:melon_block, Арбуз
minecraft:vine, Лоза
minecraft:fence_gate, Калитка
minecraft:brick_stairs, Кирпичные ступеньки
minecraft:stone_brick_stairs, Ступеньки из каменного кирпича
minecraft:mycelium, Мицелий
minecraft:waterlily, Кувшинка
minecraft:nether_brick, Адские кирпичи
minecraft:nether_brick_fence, Адский забор
minecraft:nether_brick_stairs, Адские ступеньки
minecraft:enchanting_table, Стол зачарований
minecraft:end_portal, Портал Края
minecraft:end_portal_frame, Портал в Энд
minecraft:end_stone, Эндерняк
minecraft:dragon_egg, Яйцо дракона
minecraft:redstone_lamp, Лампа
minecraft:wooden_slab:0, Дубовая плита
minecraft:wooden_slab:1, Еловая плита
minecraft:wooden_slab:2, Берёзовая плита
minecraft:wooden_slab:3, Плита из досок тропического дерева
minecraft:wooden_slab:4, Акациевая плита
minecraft:wooden_slab:5, Плита из досок тёмного дуба
minecraft:cocoa, Какао
minecraft:sandstone_stairs, Ступеньки из песчаника
minecraft:emerald_ore, Изумрудная руда
minecraft:ender_chest, Сундук Эндера
minecraft:tripwire_hook, Крюк
minecraft:emerald_block, Изумрудный блок
minecraft:spruce_stairs, Еловые ступеньки
minecraft:birch_stairs, Берёзовые ступеньки
minecraft:jungle_stairs, Ступеньки из досок тропического дерева
minecraft:command_block, Командный блок
minecraft:beacon, Маяк
minecraft:cobblestone_wall:0, Каменная ограда
minecraft:cobblestone_wall:1, Ограда из замшелого булыжника
minecraft:carrots, Морковь
minecraft:potatoes, Картофель
minecraft:wooden_button, Кнопка
minecraft:anvil:0, Наковальня
minecraft:anvil:1, Повреждённая наковальня
minecraft:anvil:2, Сильно повреждённая наковальня
minecraft:trapped_chest, Сундук-ловушка
minecraft:light_weighted_pressure_plate, Утяжелённая нажимная пластина (Лёгкая)
minecraft:heavy_weighted_pressure_plate, Утяжелённая нажимная пластина (Тяжёлая)
minecraft:daylight_detector, Датчик дневного света
minecraft:redstone_block, Блок красного камня
minecraft:quartz_ore, Кварцевая руда
minecraft:hopper, Воронка
minecraft:quartz_block:0, Кварцевый блок
minecraft:quartz_block:1, Резной кварцевый блок
minecraft:quartz_block:2, Кварцевый пилон
minecraft:quartz_stairs, Кварцевые ступеньки
minecraft:activator_rail, Активирующие рельсы
minecraft:dropper, Выбрасыватель
minecraft:stained_hardened_clay:0, Белая керамика
minecraft:stained_hardened_clay:1, Оранжевая керамика
minecraft:stained_hardened_clay:2, Пурпурная керамика
minecraft:stained_hardened_clay:3, Светло-синяя керамика
minecraft:stained_hardened_clay:4, Жёлтая керамика
minecraft:stained_hardened_clay:5, Лаймовая керамика
minecraft:stained_hardened_clay:6, Розовая керамика
minecraft:stained_hardened_clay:7, Серая керамика
minecraft:stained_hardened_clay:8, Светло-серая керамика
minecraft:stained_hardened_clay:9, Бирюзовая керамика
minecraft:stained_hardened_clay:10, Фиолетовая керамика
minecraft:stained_hardened_clay:11, Синяя керамика
minecraft:stained_hardened_clay:12, Коричневая керамика
minecraft:stained_hardened_clay:13, Зелёная керамика
minecraft:stained_hardened_clay:14, Красная керамика
minecraft:stained_hardened_clay:15, Чёрная керамика
minecraft:stained_glass_pane:0, Белая стеклянная панель
minecraft:stained_glass_pane:1, Оранжевая стеклянная панель
minecraft:stained_glass_pane:2, Пурпурная стеклянная панель
minecraft:stained_glass_pane:3, Голубая стеклянная панель
minecraft:stained_glass_pane:4, Жёлтая стеклянная панель
minecraft:stained_glass_pane:5, Лаймовая стеклянная панель
minecraft:stained_glass_pane:6, Розовая стеклянная панель
minecraft:stained_glass_pane:7, Серая стеклянная панель
minecraft:stained_glass_pane:8, Светло-серая стеклянная панель
minecraft:stained_glass_pane:9, Бирюзовая стеклянная панель
minecraft:stained_glass_pane:10, Фиолетовая стеклянная панель
minecraft:stained_glass_pane:11, Синяя стеклянная панель
minecraft:stained_glass_pane:12, Коричневая стеклянная панель
minecraft:stained_glass_pane:13, Зелёная стеклянная панель
minecraft:stained_glass_pane:14, Красная стеклянная панель
minecraft:stained_glass_pane:15, Чёрная стеклянная панель
minecraft:leaves2:0, Листья акации
minecraft:leaves2:1, Листья тёмного дуба
minecraft:log2:0, Акациевая древесина
minecraft:log2:1, Древесина тёмного дуба
minecraft:acacia_stairs, Акациевые ступеньки
minecraft:dark_oak_stairs, Ступеньки из досок тёмного дуба
Thaumcraft:blockFluxGoo:0, Заражённая слизь
Thaumcraft:blockFluxGas:0, Заражённый газ
Thaumcraft:blockFluidPure, Очищающая жидкость
Thaumcraft:blockFluidDeath, Жидкая смерть
Thaumcraft:blockCustomOre:0, Киноварь
Thaumcraft:blockCustomOre:1, Грозовая руда
Thaumcraft:blockCustomOre:2, Огненная руда
Thaumcraft:blockCustomOre:3, Ледяная руда
Thaumcraft:blockCustomOre:4, Руда земляного кристалла
Thaumcraft:blockCustomOre:5, Руда кристалла порядка
Thaumcraft:blockCustomOre:6, Энтропийная руда
Thaumcraft:blockCustomOre:7, Янтарная руда
minecraft:hay_block, Сноп сена
minecraft:carpet:0, Ковёр
minecraft:carpet:1, Оранжевый ковёр
minecraft:carpet:2, Пурпурный ковёр
minecraft:carpet:3, Голубой ковёр
minecraft:carpet:4, Жёлтый ковёр
minecraft:carpet:5, Лаймовый ковёр
minecraft:carpet:6, Розовый ковёр
minecraft:carpet:7, Серый ковёр
minecraft:carpet:8, Светло-серый ковёр
minecraft:carpet:9, Бирюзовый ковёр
minecraft:carpet:10, Фиолетовый ковёр
minecraft:carpet:11, Синий ковёр
minecraft:carpet:12, Коричневый ковёр
minecraft:carpet:13, Зелёный ковёр
minecraft:carpet:14, Красный ковёр
minecraft:carpet:15, Чёрный ковёр
minecraft:hardened_clay, Керамика
minecraft:coal_block, Угольный блок
minecraft:packed_ice, Плотный лёд
minecraft:double_plant:0, Подсолнух
minecraft:double_plant:1, Сирень
minecraft:double_plant:2, Двойная высокая трава
minecraft:double_plant:3, Раскидистый папоротник
minecraft:double_plant:4, Розовый куст
minecraft:double_plant:5, Пион
Thaumcraft:blockMagicalLog:0, Древесина великого дерева
Thaumcraft:blockMagicalLog:1, Древесина серебряного дерева
Thaumcraft:blockMagicalLeaves:0, Листва великого дерева
Thaumcraft:blockMagicalLeaves:1, Листва серебряного дерева
Thaumcraft:blockCustomPlant:0, Саженец великого дерева
Thaumcraft:blockCustomPlant:1, Саженец серебрянного дерева
Thaumcraft:blockCustomPlant:2, Сребролист
Thaumcraft:blockCustomPlant:3, Огненный жемчуг
Thaumcraft:blockCustomPlant:4, Эфирный цветок
Thaumcraft:blockCustomPlant:5, Висомор
Thaumcraft:blockTaint:0, Заражённый камень
Thaumcraft:blockTaint:1, Заражённая земля
Thaumcraft:blockTaint:2, Блок плоти
Thaumcraft:blockTaintFibres:0, Заражённое волокно
Thaumcraft:blockTaintFibres:1, Заражённая трава
Thaumcraft:blockTaintFibres:2, Заражённое растение
Thaumcraft:blockTaintFibres:3, Спороцвет
Thaumcraft:blockCosmeticOpaque:0, Янтарный блок
Thaumcraft:blockCosmeticOpaque:1, Янтарный кирпич
Thaumcraft:blockCosmeticOpaque:2, Усиленное стекло
Thaumcraft:blockCosmeticSolid:0, Обсидиановый тотем
Thaumcraft:blockCosmeticSolid:1, Обсидиановая основа
Thaumcraft:blockCosmeticSolid:2, Камень путешественника
Thaumcraft:blockCosmeticSolid:3, Камень сдерживания
Thaumcraft:blockCosmeticSolid:4, Блок таум-металла
Thaumcraft:blockCosmeticSolid:5, Блок магического жира
Thaumcraft:blockCosmeticSolid:6, Магический камень
Thaumcraft:blockCosmeticSolid:7, Магический кирпич
Thaumcraft:blockCosmeticSolid:8, Заряженный обсидиановый тотем
Thaumcraft:blockCosmeticSolid:9, Голем-деактиватор
Thaumcraft:blockCosmeticSolid:11, Древний камень
Thaumcraft:blockCosmeticSolid:12, Древняя скала
Thaumcraft:blockCosmeticSolid:14, Заросший камень
Thaumcraft:blockCosmeticSolid:15, Древний пьедестал
Thaumcraft:blockCrystal:0, Грозовой кристальный кластер
Thaumcraft:blockCrystal:1, Огненный кристальный кластер
Thaumcraft:blockCrystal:2, Ледяной кристальный кластер
Thaumcraft:blockCrystal:3, Земляной кристальный кластер
Thaumcraft:blockCrystal:4, Кристальный кластер порядка
Thaumcraft:blockCrystal:5, Энтропийный кристальный кластер
Thaumcraft:blockCrystal:6, Смешанный кристальный кластер
Thaumcraft:blockTube:0, Труба для эссенции
Thaumcraft:blockTube:1, Клапан для эссенции
Thaumcraft:blockTube:2, Алхимическая центрифуга
Thaumcraft:blockTube:3, Фильтрующая труба для эссенции
Thaumcraft:blockTube:4, Буфер для эссенции
Thaumcraft:blockTube:5, Ограничивающая труба для эссенции
Thaumcraft:blockTube:6, Направляющая труба для эссенции
Thaumcraft:blockTube:7, Кристаллизатор эссенции
Thaumcraft:blockMetalDevice:0, Тигель
Thaumcraft:blockMetalDevice:1, Перегонный куб
Thaumcraft:blockMetalDevice:5, Железная решетка
Thaumcraft:blockMetalDevice:7, Магический светильник
Thaumcraft:blockMetalDevice:8, Светильник роста
Thaumcraft:blockMetalDevice:13, Светильник скрещивания
Thaumcraft:blockMetalDevice:9, Алхимическая конструкция
Thaumcraft:blockMetalDevice:3, Улучшенная алхимическая конструкция
Thaumcraft:blockMetalDevice:12, Мнемоническая матрица
Thaumcraft:blockMetalDevice:14, Вис-канал
Thaumcraft:blockMetalDevice:2, Вис-заряжатель
Thaumcraft:blockWoodenDevice:0, Магические меха
Thaumcraft:blockWoodenDevice:1, Магическое ухо
Thaumcraft:blockWoodenDevice:2, Магическая нажимная плита
Thaumcraft:blockWoodenDevice:4, Основа магического бура
Thaumcraft:blockWoodenDevice:5, Магический бур
Thaumcraft:blockWoodenDevice:6, Доски великого дерева
Thaumcraft:blockWoodenDevice:7, Доски серебряного дерева
Thaumcraft:blockWoodenDevice:8, Вымпел
Thaumcraft:blockWoodenDevice:8, Белый вымпел
Thaumcraft:blockWoodenDevice:8, Оранжевый вымпел
Thaumcraft:blockWoodenDevice:8, Пурпурный вымпел
Thaumcraft:blockWoodenDevice:8, Голубой вымпел
Thaumcraft:blockWoodenDevice:8, Жёлтый вымпел
Thaumcraft:blockWoodenDevice:8, Лаймовый вымпел
Thaumcraft:blockWoodenDevice:8, Розовый вымпел
Thaumcraft:blockWoodenDevice:8, Серый вымпел
Thaumcraft:blockWoodenDevice:8, Светло-серый вымпел
Thaumcraft:blockWoodenDevice:8, Бирюзовый вымпел
Thaumcraft:blockWoodenDevice:8, Фиолетовый вымпел
Thaumcraft:blockWoodenDevice:8, Синий вымпел
Thaumcraft:blockWoodenDevice:8, Коричневый вымпел
Thaumcraft:blockWoodenDevice:8, Зелёный вымпел
Thaumcraft:blockWoodenDevice:8, Красный вымпел
Thaumcraft:blockWoodenDevice:8, Чёрный вымпел
Thaumcraft:blockStoneDevice:0, Алхимическая печь
Thaumcraft:blockStoneDevice:1, Магический пьедестал
Thaumcraft:blockStoneDevice:2, Руническая матрица
Thaumcraft:blockStoneDevice:5, Пьедестал перезарядки
Thaumcraft:blockStoneDevice:8, Расщепитель аспектов
Thaumcraft:blockStoneDevice:9, Узел-стабилизатор
Thaumcraft:blockStoneDevice:10, Улучшенный узел-стабилизатор
Thaumcraft:blockStoneDevice:11, Узел-преобразователь
Thaumcraft:blockStoneDevice:12, Магическая ванна
Thaumcraft:blockStoneDevice:13, Набалдашниковый верстак
Thaumcraft:blockStoneDevice:14, Полотёр порчи
Thaumcraft:blockMirror:0, Магическое зеркало
Thaumcraft:blockMirror:6, Зеркало для эссенции
Thaumcraft:blockTable:0, Стол
Thaumcraft:blockTable:14, Стол расщепления
Thaumcraft:blockTable:15, Магический верстак
Thaumcraft:blockChestHungry, Голодный сундук
Thaumcraft:blockArcaneDoor, Магическая дверь
Thaumcraft:blockLifter, Магический подъёмник
Thaumcraft:blockMagicBox, tile.blockMagicBox.name
Thaumcraft:blockAlchemyFurnace, Улучшенная алхимическая печь
Thaumcraft:blockJar:0, Банка
Thaumcraft:blockJar:1, Мозг в банке
Thaumcraft:blockJar:3, Пустотная банка
Thaumcraft:blockCandle:0, Белая свеча
Thaumcraft:blockCandle:1, Оранжевая свеча
Thaumcraft:blockCandle:2, Сиреневая свеча
Thaumcraft:blockCandle:3, Светло-синяя свеча
Thaumcraft:blockCandle:4, Жёлтая свеча
Thaumcraft:blockCandle:5, Лаймовая свеча
Thaumcraft:blockCandle:6, Розовая свеча
Thaumcraft:blockCandle:7, Серая свеча
Thaumcraft:blockCandle:8, Светло-серая свеча
Thaumcraft:blockCandle:9, Бирюзовая свеча
Thaumcraft:blockCandle:10, Фиолетовая свеча
Thaumcraft:blockCandle:11, Синяя свеча
Thaumcraft:blockCandle:12, Коричневая свеча
Thaumcraft:blockCandle:13, Зелёная свеча
Thaumcraft:blockCandle:14, Красная свеча
Thaumcraft:blockCandle:15, Чёрная свеча
Thaumcraft:blockEldritch:4, Светящийся заросший камень
Thaumcraft:blockAiry:0, Узел ауры
Thaumcraft:blockManaPod, tile.blockManaPod.name
Thaumcraft:blockArcaneFurnace, Адская печь
Thaumcraft:blockWarded, tile.blockWarded.name
Thaumcraft:blockHole, Пустое место
Thaumcraft:blockPortalEldritch, Древний портал
Thaumcraft:blockEssentiaReservoir:0, Резервуар эссенции
Thaumcraft:blockEldritchNothing, tile.blockPortalNothing.name
Thaumcraft:blockStairsArcaneStone, Лестница из магического камня
Thaumcraft:blockStairsGreatwood, Лестница из великого дерева
Thaumcraft:blockStairsSilverwood, Лестница из серебряного дерева
Thaumcraft:blockStairsEldritch, Лестница из древнего камня
Thaumcraft:blockCosmeticSlabWood:0, Плита из великого дерева
Thaumcraft:blockCosmeticSlabWood:1, Плита из серебряного дерева
Thaumcraft:blockCosmeticSlabStone:0, Плита из магического камня
Thaumcraft:blockCosmeticSlabStone:1, Плита из древнего камня
Thaumcraft:blockCosmeticDoubleSlabWood, Wood Slab
Thaumcraft:blockCosmeticDoubleSlabStone, Stone Slab
Thaumcraft:blockLootUrn:0, Старая ваза
Thaumcraft:blockLootUrn:1, Старая ваза
Thaumcraft:blockLootUrn:2, Старая ваза
Thaumcraft:blockLootCrate:0, Забытый ящик
Thaumcraft:blockLootCrate:1, Забытый ящик
Thaumcraft:blockLootCrate:2, Забытый ящик
thaumicadditions:tank_basic, [БВР] Вис цистерна
thaumicadditions:arc_seal, Магическая печать (Опущённая в NEI)
thaumicadditions:symboller, Печатный символлер
thaumicadditions:infuser, Наполнитель
thaumicadditions:dark_generator, Генератор темноты
thaumicadditions:thaumic_crystallizer, Магический кристаллизатор
thaumicadditions:thaumic_generator, Магический генератор
thaumicadditions:thaumic_restorer, Магический ремонтник
thaumicadditions:hyper_node_creator, [КРЕАТИВ] Генератор убер узлов ауры
thaumicadditions:returner_block, tile.thaumicadditions:returner_block.name
thaumicadditions:tainted_crops, Заражённые всходы
thaumicadditions:infuser_activator, Активатор рунической матрицы
thaumicadditions:tile_booster, Ускоритель тайлов
thaumicadditions:creative_node, tile.thaumicadditions:creative_node.name
thaumicadditions:eldritch_stone, Древний камень
thaumicadditions:eldritch_lock, tile.thaumicadditions:eldritch_lock.name
thaumicadditions:void_chest, Пустотный сундук
thaumicadditions:stairs_eldritch, Ступеньки из древнего камня
thaumicadditions:old_crucible, Вис тигель
thaumicadditions:vis_conduit, Вис труба
thaumicadditions:old_condensator, Конденсатор вис
thaumicadditions:filter, Вис фильтр
thaumicadditions:tank_reinforced, tile.thaumicadditions:tank_reinforced.name
thaumicadditions:fluid.pure_warp, Сжиженное искажение
Botania:flower:0, Мистический белый цветок
Botania:flower:1, Мистический оранжевый цветок
Botania:flower:2, Мистический сиреневый цветок
Botania:flower:3, Мистический светло-синий цветок
Botania:flower:4, Мистический жёлтый цветок
Botania:flower:5, Мистический лаймовый цветок
Botania:flower:6, Мистический розовый цветок
Botania:flower:7, Мистический серый цветок
Botania:flower:8, Мистический светло-серый цветок
Botania:flower:9, Мистический бирюзовый цветок
Botania:flower:10, Мистический фиолетовый цветок
Botania:flower:11, Мистический синий цветок
Botania:flower:12, Мистический коричневый цветок
Botania:flower:13, Мистический зелёный цветок
Botania:flower:14, Мистический красный цветок
Botania:flower:15, Мистический чёрный цветок
Botania:altar:0, Лепестковый Аптекарь
Botania:altar:1, Лесной Лепестковый Аптекарь
Botania:altar:2, Луговой Лепестковый Аптекарь
Botania:altar:3, Горный Лепестковый Аптекарь
Botania:altar:4, Грибной Лепестковый Аптекарь
Botania:altar:5, Болотный Лепестковый Аптекарь
Botania:altar:6, Пустынный Лепестковый Аптекарь
Botania:altar:7, Таёжный Лепестковый Аптекарь
Botania:altar:8, Столовый Лепестковый Аптекарь
Botania:livingrock:0, Жизнекамень
Botania:livingrock:1, Кирпич из жизнекамня
Botania:livingrock:2, Замшелый кирпич из жизнекамня
Botania:livingrock:3, Потрескавшийся кирпич из жизнекамня
Botania:livingrock:4, Обрамлённый кирпич из жизнекамня
Botania:livingwood:0, Жизнедерево
Botania:livingwood:1, Доски из жизнедерева
Botania:livingwood:2, Замшелые доски из жизнедерева
Botania:livingwood:3, Обрамлённое жизнедерево
Botania:livingwood:4, Резное жизнедерево
Botania:livingwood:5, Светящееся жизнедерево
Botania:specialFlower, tile.specialFlower.name
Botania:spreader:0, Распространитель маны
Botania:spreader:1, Пульсирующий распространитель маны
Botania:spreader:2, Эльфийский распространитель маны
Botania:spreader:3, Распространитель маны Гайи
Botania:pool:0, Бассейн маны
Botania:pool:2, Бассейн разбавленной маны
Botania:pool:3, Мифический бассейн маны
Botania:pool:1, Бассейн маны (Творческий)
Botania:runeAltar, tile.runeAltar.name
Botania:unstableBlock:0, Белый нестабильный куб
Botania:unstableBlock:1, Оранжевый нестабильный куб
Botania:unstableBlock:2, Сиреневый нестабильный куб
Botania:unstableBlock:3, Светло-синий нестабильный куб
Botania:unstableBlock:4, Жёлтый нестабильный куб
Botania:unstableBlock:5, Лаймовый нестабильный куб
Botania:unstableBlock:6, Розовый нестабильный куб
Botania:unstableBlock:7, Серый нестабильный куб
Botania:unstableBlock:8, Светло-серый нестабильный куб
Botania:unstableBlock:9, Бирюзовый нестабильный куб
Botania:unstableBlock:10, Фиолетовый нестабильный куб
Botania:unstableBlock:11, Синий нестабильный куб
Botania:unstableBlock:12, Коричневый нестабильный куб
Botania:unstableBlock:13, Зелёный нестабильный куб
Botania:unstableBlock:14, Красный нестабильный куб
Botania:unstableBlock:15, Чёрный нестабильный куб
Botania:pylon:0, Пилон маны
Botania:pylon:1, Природный пилон
Botania:pylon:2, Гайа пилон
Botania:pistonRelay, tile.pistonRelay.name
Botania:distributor, Распределитель кислородных пузырей
Botania:manaBeacon:0, Белый нестабильный маяк
Botania:manaBeacon:1, Оранжевый нестабильный маяк
Botania:manaBeacon:2, Сиреневый нестабильный маяк
Botania:manaBeacon:3, Светло-синий нестабильный маяк
Botania:manaBeacon:4, Жёлтый нестабильный маяк
Botania:manaBeacon:5, Лаймовый нестабильный маяк
Botania:manaBeacon:6, Розовый нестабильный маяк
Botania:manaBeacon:7, Серый нестабильный маяк
Botania:manaBeacon:8, Светло-серый нестабильный маяк
Botania:manaBeacon:9, Бирюзовый нестабильный маяк
Botania:manaBeacon:10, Фиолетовый нестабильный маяк
Botania:manaBeacon:11, Синий нестабильный маяк
Botania:manaBeacon:12, Коричневый нестабильный маяк
Botania:manaBeacon:13, Зелёный нестабильный маяк
Botania:manaBeacon:14, Красный нестабильный маяк
Botania:manaBeacon:15, Чёрный нестабильный маяк
Botania:manaVoid, tile.manaVoid.name
Botania:manaDetector, tile.manaDetector.name
Botania:enchanter, Осмотический стол зачарований
minecraft:iron_shovel, Железная лопата
minecraft:iron_pickaxe, Железная кирка
minecraft:iron_axe, Железный топор
minecraft:flint_and_steel, Огниво
minecraft:apple, Яблоко
minecraft:bow, Лук
minecraft:arrow, Стрела
minecraft:coal:0, Уголь
minecraft:coal:1, Древесный уголь
minecraft:diamond, Алмаз
minecraft:iron_ingot, Железный слиток
minecraft:gold_ingot, Золотой слиток
minecraft:iron_sword, Железный меч
minecraft:wooden_sword, Деревянный меч
minecraft:wooden_shovel, Деревянная лопата
minecraft:wooden_pickaxe, Деревянная кирка
minecraft:wooden_axe, Деревянный топор
minecraft:stone_sword, Каменный меч
minecraft:stone_shovel, Каменная лопата
minecraft:stone_pickaxe, Каменная кирка
minecraft:stone_axe, Каменный топор
minecraft:diamond_sword, Алмазный меч
minecraft:diamond_shovel, Алмазная лопата
minecraft:diamond_pickaxe, Алмазная кирка
minecraft:diamond_axe, Алмазный топор
minecraft:stick, Палка
minecraft:bowl, Миска
minecraft:mushroom_stew, Тушеные грибы
minecraft:golden_sword, Золотой меч
minecraft:golden_shovel, Золотая лопата
minecraft:golden_pickaxe, Золотая кирка
minecraft:golden_axe, Золотой топор
minecraft:string, Нить
minecraft:feather, Перо
minecraft:gunpowder, Порох
minecraft:wooden_hoe, Деревянная мотыга
minecraft:stone_hoe, Каменная мотыга
minecraft:iron_hoe, Железная мотыга
minecraft:diamond_hoe, Алмазная мотыга
minecraft:golden_hoe, Золотая мотыга
minecraft:wheat_seeds, Семена пшеницы
minecraft:wheat, Пшеница
minecraft:bread, Хлеб
minecraft:leather_helmet, Кожаный шлем
minecraft:leather_chestplate, Кожаная куртка
minecraft:leather_leggings, Кожаные штаны
minecraft:leather_boots, Кожаные ботинки
minecraft:chainmail_helmet, Койф
minecraft:chainmail_chestplate, Кольчуга
minecraft:chainmail_leggings, Кольчужные поножи
minecraft:chainmail_boots, Кольчужные ботинки
minecraft:iron_helmet, Железный шлем
minecraft:iron_chestplate, Железный нагрудник
minecraft:iron_leggings, Железные поножи
